Column1;Column2;Column3;Column4;Column5;Column6;Column7;;;;
173;0.01;6;1;1;1;1;;;;
236;0.01;6;1;1;1;1;;;Sum;15.53
143;0.01;7;1;1;1;1;;;Maximum;1.0144549
184;0;7;1;1;1;1;;;Minimum;0.004631
215;0.01;7;1;1;1;1;;;Average;0.03516488
288;0.01;7;1;1;1;1;;;Median;0.011933
1;0.01;8;1;1;1;1;;;;
14;0.01;8;1;1;1;1;;;;
18;0.01;8;1;1;1;1;;;;
125;0.01;8;1;1;1;1;;;;
134;0.01;8;1;1;1;1;;;;
172;0.01;8;1;1;1;1;;Average Offer;1.524553571;
235;0.01;8;1;1;1;1;;Average Activities;13.63169643;
342;0.01;8;1;1;1;1;;;;
0;0.01;9;1;1;1;1;;;;
2;0.01;9;1;1;1;1;;;;
155;0.01;9;1;1;1;1;;;;
171;0.01;9;1;1;1;1;;;;
183;0.01;9;1;1;1;1;;;;
193;0.01;9;1;1;1;1;;;;
214;0.01;9;1;1;1;1;;;;
234;0.01;9;1;1;1;1;;;;
382;0.01;9;1;1;1;1;;;;
447;0.01;9;1;1;1;1;;;;
448;0.01;9;1;1;1;1;;;;
3;0.01;10;1;1;1;1;;;;
11;0.01;10;1;1;1;1;;;;
12;0.01;10;1;1;1;1;;1;0.012;
15;0.01;10;1;1;1;1;;2;0.055;
16;0.01;10;1;1;1;1;;3;0.965;
30;0.01;10;1;1;1;1;;4;0;
33;0.01;10;1;1;1;1;;;;
34;0.01;10;1;1;1;1;;;;
35;0.01;10;1;1;1;1;;;;
71;0.01;10;1;1;1;1;;;;
95;0.01;10;1;1;1;1;;;;
108;0.01;10;1;1;1;1;;;;
112;0.01;10;1;1;1;1;;;;
129;0.01;10;1;1;1;1;;;;
170;0.01;10;1;1;1;1;;;;
287;0.01;10;1;1;1;1;;;;
314;0.01;10;1;1;1;1;;;;
315;0.01;10;1;1;1;1;;;;
316;0.01;10;1;1;1;1;;;;
378;0.01;10;1;1;1;1;;1;0.012;
381;0.01;10;1;1;1;1;;2;0.159;
443;0.01;10;1;1;1;1;;;;
444;0.01;10;1;1;1;1;;6;0.005;
446;0.01;10;1;1;1;1;;7;0.005;
5;0.01;11;1;1;1;1;;8;0.008;
7;0.01;11;1;1;1;1;;9;0.009;
9;0.01;11;1;1;1;1;;10;0.009;
23;0.01;11;1;1;1;1;;11;0.01;
27;0.01;11;1;1;1;1;;12;0.01;
29;0.01;11;1;1;1;1;;13;0.012;
31;0.01;11;1;1;1;1;;14;0.012;
38;0.01;11;1;1;1;1;;15;0.014;
39;0.01;11;1;1;1;1;;16;0.022;
43;0.01;11;1;1;1;1;;17;0.038;
60;0.01;11;1;1;1;1;;18;3.753;
86;0.01;11;1;1;1;1;;19;0.963;
89;0.01;11;1;1;1;1;;;;
169;0.01;11;1;1;1;1;;;;
232;0.01;11;1;1;1;1;;;;
233;0.01;11;1;1;1;1;;;;
283;0.01;11;1;1;1;1;;;;
284;0.01;11;1;1;1;1;;;;
285;0.01;11;1;1;1;1;;;;
311;0.01;11;1;1;1;1;;;;
313;0.01;11;1;1;1;1;;;;
374;0.01;11;1;1;1;1;;;;
377;0.01;11;1;1;1;1;;;;
439;0.01;11;1;1;1;1;;;;
440;0.01;11;1;1;1;1;;;;
442;0.01;11;1;1;1;1;;;;
4;0.01;12;1;1;1;1;;;;
10;0.01;12;1;1;1;1;;;;
13;0.01;12;1;1;1;1;;;;
19;0.01;12;1;1;1;1;;;;
20;0.01;12;1;1;1;1;;;;
26;0.01;12;1;1;1;1;;;;
45;0.01;12;1;1;1;1;;;;
47;0.01;12;1;1;1;1;;;;
49;0.01;12;1;1;1;1;;;;
50;0.01;12;1;1;1;1;;;;
51;0.01;12;1;1;1;1;;;;
52;0.01;12;1;1;1;1;;;;
54;0.01;12;1;1;1;1;;;;
65;0.01;12;1;1;1;1;;;;
66;0.01;12;1;1;1;1;;;;
72;0.01;12;1;1;1;1;;;;
76;0.01;12;1;1;1;1;;;;
88;0.01;12;1;1;1;1;;;;
98;0.01;12;1;1;1;1;;;;
102;0.01;12;1;1;1;1;;;;
107;0.01;12;1;1;1;1;;;;
111;0.01;12;1;1;1;1;;;;
123;0.01;12;1;1;1;1;;;;
124;0.01;12;1;1;1;1;;;;
128;0.01;12;1;1;1;1;;;;
130;0.01;12;1;1;1;1;;;;
133;0.01;12;1;1;1;1;;;;
159;0.01;12;1;1;1;1;;;;
211;0.01;12;1;1;1;1;;;;
212;0.01;12;1;1;1;1;;;;
228;0.01;12;1;1;1;1;;;;
229;0.01;12;1;1;1;1;;;;
230;0.01;12;1;1;1;1;;;;
255;0.01;12;1;1;1;1;;;;
256;0.01;12;1;1;1;1;;;;
308;0.01;12;1;1;1;1;;;;
309;0.01;12;1;1;1;1;;;;
371;0.01;12;1;2;1;1;;;;
373;0.01;12;1;1;1;1;;;;
434;0.01;12;1;1;1;1;;;;
437;0.01;12;1;1;1;1;;;;
438;0.01;12;1;1;1;1;;;;
6;0.01;13;1;1;1;1;;;;
8;0.01;13;1;1;1;1;;;;
21;0.01;13;1;1;1;1;;;;
42;0.01;13;1;1;1;1;;;;
44;0.01;13;1;1;1;1;;;;
48;0.01;13;1;1;1;1;;;;
53;0.01;13;1;1;1;1;;;;
56;0.01;13;1;1;1;1;;;;
57;0.01;13;1;1;1;1;;;;
58;0.01;13;1;1;1;1;;;;
59;0.02;13;1;1;1;1;;;;
61;0.02;13;1;2;1;1;;;;
68;0.01;13;1;1;1;1;;;;
91;0.01;13;1;1;1;1;;;;
106;0.01;13;1;1;1;1;;;;
109;0.01;13;1;1;1;1;;;;
118;0.01;13;1;2;1;1;;;;
122;0.01;13;1;1;1;1;;;;
141;0.01;13;1;1;1;1;;;;
152;0.01;13;1;2;1;1;;;;
