Variant i;Variant j;Total Time;Summarization Time;Mapping Time;Number of Events;Average Number of Application;Average Number of Offer;Largest Type Object Set;Cost;Lane Optionality;n;;;1;2;3;4;5
0;1;1.1614656;0.6635451;0.4979205;30;1;1;1;6;0;2;;2;5.972577271;10.18051872;6.367521784;1.415448359;69.47999375
0;2;5.2714543;5.1024989;0.1689554;34;1;1.5;2;6;1;2;;4;6.548750631;1.476346064;26.94696855;30.14180429;92.90727538
0;3;1.0917948;1.039021;0.0527738;29;1;1.5;2;12;1;2;;8;7.192352867;12.89880184;18.11072818;24.28011688;3.174293369
0;4;12.8498786;6.7759936;6.073885;30;1;1.5;2;16;1;2;;;;;;;
0;5;0.5774759;0.569236;0.0082399;28;1;1;1;6;0;2;;Median;1.3518505;4.2502536;25.3439221;;
0;6;8.0321958;1.2853531;6.7468427;31;1;1.5;2;11;1;2;;Maximum;132.8497656;157.8224002;390.672982;;
0;7;5.2666328;5.2491788;0.017454;32;1;1.5;2;12;1;2;;Minimum;0.0238663;0.0808644;0.5546428;;
0;8;25.1593931;11.8106761;13.348717;28;1;1.5;2;16;1;2;;;;;;;
0;9;14.3856278;7.1413524;7.2442754;30;1;1.5;2;16;1;2;;Median;0.44060195;0.0896205;0.250802;;
1;2;4.4139623;2.4085023;2.00546;32;1;1.5;2;9;1;2;;Maximum;57.4103171;1.0449865;4.4831199;;
1;3;0.4013561;0.2711899;0.1301662;27;1;1.5;2;9;1;2;;Minimum;0.0136892;0.0332785;0.0766426;;
1;4;0.5173094;0.5022817;0.0150277;28;1;1.5;2;12;1;2;;;;;;;
1;5;0.2934564;0.2064488;0.0870076;26;1;1;1;5;0;2;;Median;0.58022785;4.1542894;24.7629403;;
1;6;3.6672664;0.7479699;2.9192965;29;1;1.5;2;8;1;2;;Maximum;128.3824574;157.6805649;390.3359679;;
1;7;3.1711944;2.2108509;0.9603435;30;1;1.5;2;13;1;2;;Median;0.0052187;0.0123836;0.2942434;;
1;8;4.2560957;2.6804311;1.5756646;26;1;1.5;2;13;1;2;;;;;;;
1;9;0.5864813;0.5579684;0.0285129;28;1;1.5;2;13;1;2;;2;2.431481204;1.291580211;0.106948051;0.085947107;0.168960255
2;3;0.1516009;0.0625907;0.0890102;31;1;2;2;8;0;2;;4;2.574685962;0.443501818;0.087747302;0.222564389;0.411323491
2;4;24.4124046;10.7263651;13.6860395;32;1;2;2;21;0;2;;8;1.920973796;0.107363264;0.128637432;1.041428787;0.248075464
2;5;1.3648483;1.3250669;0.0397814;30;1;1.5;2;9;1;2;;;;;;;
2;6;17.9801524;0.0426503;17.9375021;33;1;2;2;7;0;2;;2;3.541096067;8.888938504;6.260573733;1.302589398;69.31478817
2;7;12.9306449;12.4546813;0.4759636;34;1;2;2;17;0;2;;4;3.974064669;1.032844247;26.85922124;29.9192399;92.49595189
2;8;26.9932439;5.0065821;21.9866618;30;1;2;2;17;0;2;;8;5.271379071;12.79143858;17.98494936;23.23868809;2.926217904
2;9;27.1503492;11.2808126;15.8695366;32;1;2;2;20;0;2;;;;;;;
3;4;0.5918173;0.3873214;0.2044959;27;1;2;2;16;0;2;;;1;2;3;4;5
