Variant i;Variant j;Total Time;Summarization Time;Mapping Time;Number of Events;Average Number of Application;Average Number of Offer;Largest Type Object Set;Cost;Lane Optionality;;Total;;;Mapping;;;Summarization;
0;19;41.8556355;2.7698476;39.0857879;106;1;2.5;3;4;1;;Average;184.0097937;;Average;182.1274844;;Average;2.079295166
1;19;71.6796244;1.7073133;69.9723111;108;1;2.5;3;3;1;;Median;179.9457415;;Median;178.3249167;;Median;1.8584687
2;19;82.773203;NaN;82.773203;112;1;2.5;3;NaN;1;;Maximum;528.0554121;;Maximum;525.2412501;;Maximum;3.2772199
3;19;52.4539333;NaN;52.4539333;103;1;2.5;3;NaN;1;;Minimum;25.6193499;;Minimum;23.6093996;;Minimum;1.3281815
4;19;72.6634112;1.6175815;71.0458297;104;1;2.5;3;4;1;;;;;;;;;
5;19;55.8527728;2.0163708;53.836402;108;1;2.5;3;4;1;;;;;;;;;
6;19;26.6708152;1.9154853;24.7553299;107;1;2.5;3;3;1;;;;;;;;;
7;19;84.9536003;1.8418112;83.1117891;114;1;2.5;3;3;1;;1;NaN;;;;;;
8;19;48.4673331;2.0612771;46.406056;111;1;2.5;3;3;1;;1.5;NaN;;;;;;
9;19;69.5258566;NaN;69.5258566;104;1;2.5;3;NaN;1;;2;NaN;;;;;;
10;19;44.8734566;1.6425935;43.2308631;103;1;2.5;3;4;1;;2.5;74.59121252;;;;;;
11;19;169.1253903;NaN;169.1253903;112;1;2.5;3;NaN;1;;3;196.1674138;;;;;;
12;19;62.4878538;2.9324472;59.5554066;109;1;2.5;3;4;1;;;;;;;;;
13;19;97.1786498;2.8429604;94.3356894;109;1;2.5;3;4;1;;2.95;;;;;;;
14;19;60.8731787;1.6081249;59.2650538;102;1;2.5;3;4;1;;;;;;;;;
15;19;57.222029;1.9469857;55.2750433;108;1;2.5;3;3;1;;;;;;;;;
16;19;147.775738;1.7267491;146.0489889;109;1;2.5;3;4;1;;;;;;;;;
17;19;68.5355766;NaN;68.5355766;108;1;2.5;3;NaN;1;;;;;;;;;
18;19;102.2649797;NaN;102.2649797;108;1;2.5;3;NaN;1;;;;;;;;;
0;1;153.5609285;1.5842743;151.9766542;112;1;3;3;3;0;;;;;;;;;
0;2;144.277163;2.7761913;141.5009717;116;1;3;3;3;0;;;;;;;;;
0;3;59.8671584;NaN;59.8671584;107;1;3;3;NaN;0;;;;;;;;;
0;4;182.8180168;1.5103907;181.3076261;108;1;3;3;6;0;;;;;;;;;
0;5;109.7118481;3.0541549;106.6576932;112;1;3;3;6;0;;;;;;;;;
0;6;25.6193499;2.0099503;23.6093996;111;1;3;3;2;0;;;;;;;;;
0;7;154.5849273;NaN;154.5849273;118;1;3;3;NaN;0;;;;;;;;;
0;8;31.7251231;1.86502;29.8601031;115;1;3;3;3;0;;;;;;;;;
0;9;146.5168751;1.4731075;145.0437676;108;1;3;3;3;0;;;;;;;;;
0;10;58.1427266;2.3682772;55.7744494;107;1;3;3;2;0;;;;;;;;;
0;11;312.9744276;1.6981731;311.2762545;116;1;3;3;3;0;;;;;;;;;
0;12;55.7001337;1.7430373;53.9570964;113;1;3;3;0;0;;;;;;;;;
0;13;165.8123504;2.7273254;163.085025;113;1;3;3;2;0;;;;;;;;;
0;14;66.7139746;1.3281815;65.3857931;106;1;3;3;4;0;;;;;;;;;
0;15;59.9150594;1.6405771;58.2744823;112;1;3;3;0;0;;;;;;;;;
0;16;250.9245644;2.615791;248.3087734;113;1;3;3;6;0;;;;;;;;;
0;17;149.0059017;1.9334481;147.0724536;112;1;3;3;3;0;;;;;;;;;
0;18;178.2065278;1.6597102;176.5468176;112;1;3;3;3;0;;;;;;;;;
1;2;306.4662896;1.9390581;304.5272315;118;1;3;3;0;0;;;;;;;;;
1;3;210.9006186;NaN;210.9006186;109;1;3;3;NaN;0;;;;;;;;;
1;4;247.8463088;1.5473747;246.2989341;110;1;3;3;0;0;;;;;;;;;
1;5;168.9647513;1.9981174;166.9666339;114;1;3;3;0;0;;;;;;;;;
1;6;74.4686369;2.7408814;71.7277555;113;1;3;3;4;0;;;;;;;;;
1;7;320.5343703;NaN;320.5343703;120;1;3;3;NaN;0;;;;;;;;;
1;8;193.675427;1.9004065;191.7750205;117;1;3;3;0;0;;;;;;;;;
1;9;212.8377455;2.4833348;210.3544107;110;1;3;3;0;0;;;;;;;;;
1;10;127.4931361;1.4689998;126.0241363;109;1;3;3;3;0;;;;;;;;;
1;11;378.7376099;1.7505328;376.9870771;118;1;3;3;0;0;;;;;;;;;
1;12;210.1942233;2.6678726;207.5263507;115;1;3;3;3;0;;;;;;;;;
1;13;218.0625991;1.8519174;216.2106817;115;1;3;3;3;0;;;;;;;;;
1;14;276.6703306;1.438835;275.2314956;108;1;3;3;0;0;;;;;;;;;
1;15;207.3025364;2.7257765;204.5767599;114;1;3;3;3;0;;;;;;;;;
1;16;370.5241472;1.636231;368.8879162;115;1;3;3;0;0;;;;;;;;;
1;17;214.5997728;1.6217649;212.9780079;114;1;3;3;0;0;;;;;;;;;
1;18;289.0322367;2.6095909;286.4226458;114;1;3;3;0;0;;;;;;;;;
2;3;196.9889517;1.811431;195.1775207;113;1;3;3;0;0;;;;;;;;;
2;4;260.1755733;1.7116179;258.4639554;114;1;3;3;0;0;;;;;;;;;
2;5;169.821685;2.1864861;167.6351989;118;1;3;3;0;0;;;;;;;;;
2;6;66.1075337;3.0593972;63.0481365;117;1;3;3;4;0;;;;;;;;;
2;7;310.7629586;2.0797686;308.68319;124;1;3;3;0;0;;;;;;;;;
2;8;183.7142945;3.0619228;180.6523717;121;1;3;3;0;0;;;;;;;;;
2;9;195.4000317;1.7302443;193.6697874;114;1;3;3;0;0;;;;;;;;;
2;10;115.3318445;1.6958363;113.6360082;113;1;3;3;3;0;;;;;;;;;
2;11;437.1864936;2.9239972;434.2624964;122;1;3;3;0;0;;;;;;;;;
2;12;216.8027654;1.9006981;214.9020673;119;1;3;3;3;0;;;;;;;;;
2;13;243.8766757;2.9902491;240.8864266;119;1;3;3;3;0;;;;;;;;;
2;14;249.4342374;1.5738738;247.8603636;112;1;3;3;0;0;;;;;;;;;
2;15;187.8725612;1.9094804;185.9630808;118;1;3;3;3;0;;;;;;;;;
2;16;436.6096025;2.869806;433.7397965;119;1;3;3;0;0;;;;;;;;;
2;17;197.7953931;1.776799;196.0185941;118;1;3;3;0;0;;;;;;;;;
2;18;300.3743496;1.7913416;298.583008;118;1;3;3;0;0;;;;;;;;;
3;4;227.3108789;1.4931143;225.8177646;105;1;3;3;0;0;;;;;;;;;
3;5;145.9719438;2.9891924;142.9827514;109;1;3;3;0;0;;;;;;;;;
3;6;41.3172678;1.7995379;39.5177299;108;1;3;3;4;0;;;;;;;;;
3;7;220.1257119;1.8722293;218.2534826;115;1;3;3;0;0;;;;;;;;;
3;8;84.2251602;2.9440387;81.2811215;112;1;3;3;0;0;;;;;;;;;
3;9;179.6177869;1.5117208;178.1060661;105;1;3;3;0;0;;;;;;;;;
3;10;78.996064;1.4460794;77.5499846;104;1;3;3;3;0;;;;;;;;;
3;11;368.7952743;NaN;368.7952743;113;1;3;3;NaN;0;;;;;;;;;
3;12;106.5582039;1.731095;104.8271089;110;1;3;3;3;0;;;;;;;;;
3;13;202.3282688;NaN;202.3282688;110;1;3;3;NaN;0;;;;;;;;;
3;14;122.8561732;2.3640888;120.4920844;103;1;3;3;0;0;;;;;;;;;
3;15;98.4599301;1.6260835;96.8338466;109;1;3;3;3;0;;;;;;;;;
3;16;312.2890327;NaN;312.2890327;110;1;3;3;NaN;0;;;;;;;;;
3;17;175.7252887;2.5602972;173.1649915;109;1;3;3;0;0;;;;;;;;;
3;18;215.052921;NaN;215.052921;109;1;3;3;NaN;0;;;;;;;;;
4;5;123.729178;1.6880822;122.0410958;110;1;3;3;0;0;;;;;;;;;
4;6;72.9228627;1.591679;71.3311837;109;1;3;3;5;0;;;;;;;;;
4;7;282.5450215;1.8124786;280.7325429;116;1;3;3;0;0;;;;;;;;;
4;8;230.566274;2.7432275;227.8230465;113;1;3;3;1;0;;;;;;;;;
4;9;140.3114098;1.6125409;138.6988689;106;1;3;3;0;0;;;;;;;;;
4;10;114.8999484;1.3860502;113.5138982;105;1;3;3;4;0;;;;;;;;;
4;11;283.7856693;2.63478;281.1508893;114;1;3;3;0;0;;;;;;;;;
4;12;245.4764551;1.6534814;243.8229737;111;1;3;3;6;0;;;;;;;;;
4;13;172.148402;1.5128;170.635602;111;1;3;3;4;0;;;;;;;;;
4;14;301.5862234;1.3622715;300.2239519;104;1;3;3;2;0;;;;;;;;;
4;15;211.0949398;2.6127825;208.4821573;110;1;3;3;4;0;;;;;;;;;
4;16;329.1004792;1.4760036;327.6244756;111;1;3;3;0;0;;;;;;;;;
4;17;138.0861397;1.5105152;136.5756245;110;1;3;3;0;0;;;;;;;;;
4;18;247.54865;2.5247529;245.0238971;110;1;3;3;0;0;;;;;;;;;
5;6;42.4808796;3.0116163;39.4692633;113;1;3;3;4;0;;;;;;;;;
5;7;182.0217128;2.2281214;179.7935914;120;1;3;3;0;0;;;;;;;;;
5;8;134.5623705;2.1158193;132.4465512;117;1;3;3;0;0;;;;;;;;;
5;9;86.9955187;3.0377683;83.9577504;110;1;3;3;0;0;;;;;;;;;
5;10;67.1835852;1.7195712;65.464014;109;1;3;3;4;0;;;;;;;;;
5;11;239.8418798;3.1523245;236.6895553;118;1;3;3;0;0;;;;;;;;;
5;12;158.9984606;2.1030412;156.8954194;115;1;3;3;6;0;;;;;;;;;
5;13;139.3788632;3.2772199;136.1016433;115;1;3;3;4;0;;;;;;;;;
5;14;180.2736961;1.7299288;178.5437673;108;1;3;3;2;0;;;;;;;;;
5;15;126.4711903;2.0750265;124.3961638;114;1;3;3;4;0;;;;;;;;;
5;16;271.6926883;2.9768629;268.7158254;115;1;3;3;0;0;;;;;;;;;
5;17;86.3446541;2.0084748;84.3361793;114;1;3;3;0;0;;;;;;;;;
5;18;183.0045476;3.0240203;179.9805273;114;1;3;3;0;0;;;;;;;;;
6;7;69.2978275;1.9808328;67.3169947;119;1;3;3;3;0;;;;;;;;;
6;8;31.5778812;3.0422357;28.5356455;116;1;3;3;3;0;;;;;;;;;
6;9;51.1771931;1.790742;49.3864511;109;1;3;3;4;0;;;;;;;;;
6;10;27.660913;2.6701065;24.9908065;108;1;3;3;1;0;;;;;;;;;
6;11;158.5001203;1.944315;156.5558053;117;1;3;3;3;0;;;;;;;;;
6;12;48.7556657;1.9881309;46.7675348;114;1;3;3;2;0;;;;;;;;;
6;13;85.9162566;2.9350025;82.9812541;114;1;3;3;0;0;;;;;;;;;
6;14;47.9878812;1.627663;46.3602182;107;1;3;3;6;0;;;;;;;;;
6;15;36.2717637;1.9440754;34.3276883;113;1;3;3;1;0;;;;;;;;;
6;16;149.4502053;2.8975016;146.5527037;114;1;3;3;4;0;;;;;;;;;
6;17;51.3470946;1.794456;49.5526386;113;1;3;3;4;0;;;;;;;;;
