Variant i;Variant j;Total Time;Summarization Time;Mapping Time;Number of Events;Average Number of Application;Average Number of Offer;Largest Type Object Set;Cost;Lane Optionality;;Total;;;Mapping;;;Summarization;
2;9;1.2314094;0.2394642;0.9919452;54;1;1;1;0;0;;Average;14.71112014;;Average;14.44796122;;Average;0.284092014
2;19;1.7182254;0.198786;1.5194394;46;1;1;1;0;0;;Median;7.2885213;;Median;6.9949974;;Median;0.2615022
9;19;3.3157843;0.2294382;3.0863461;50;1;1;1;0;0;;Maximum;99.2726295;;Maximum;98.9711968;;Maximum;1.2283435
0;2;13.7660319;0.2001408;13.5658911;50;1;1.5;2;6;1;;Minimum;0.611157;;Minimum;0.611157;;Minimum;0.1064997
0;9;32.2536382;0.2356719;32.0179663;54;1;1.5;2;4;1;;;;;;;;;
0;19;26.2102395;0.1962357;26.0140038;46;1;1.5;2;6;1;;;;;;;;;
1;2;2.0158465;0.228134;1.7877125;47;1;1.5;2;4;1;;1;2.088473033;;;;;;
1;9;2.5281908;0.2611737;2.2670171;51;1;1.5;2;4;1;;1.5;7.712569403;;;;;;
1;19;4.9847051;0.2216246;4.7630805;43;1;1.5;2;4;1;;2;12.51858631;;;;;;
2;3;3.2255144;0.2779546;2.9475598;53;1;1.5;2;6;1;;2.5;20.2620927;;;;;;
2;5;5.5594211;0.2984707;5.2609504;51;1;1.5;2;5;1;;3;28.14638565;;;;;;
2;7;2.9491786;0.258;2.6911786;52;1;1.5;2;4;1;;;;;;;;;
2;8;2.8975756;0.2391933;2.6583823;52;1;1.5;2;5;1;;2.1;;;;;;;
2;11;2.0196216;0.2309804;1.7886412;53;1;1.5;2;4;1;;;;;;;;;
2;13;3.1121792;0.2663468;2.8458324;51;1;1.5;2;4;1;;;;;;;;;
2;14;13.1136711;0.2377534;12.8759177;51;1;1.5;2;4;1;;;;;;;;;
2;15;7.0600462;0.2336511;6.8263951;49;1;1.5;2;4;1;;;;;;;;;
2;16;2.8717064;0.2342411;2.6374653;52;1;1.5;2;4;1;;;;;;;;;
2;18;1.3764495;0.1681058;1.2083437;45;1;1.5;2;4;1;;;;;;;;;
3;9;6.386101;0.3151385;6.0709625;57;1;1.5;2;6;1;;;;;;;;;
3;19;2.209389;0.2742799;1.9351091;49;1;1.5;2;4;1;;;;;;;;;
5;9;11.6102376;0.339552;11.2706856;55;1;1.5;2;5;1;;;;;;;;;
5;19;9.6427179;0.2956207;9.3470972;47;1;1.5;2;5;1;;;;;;;;;
7;9;4.9717306;0.2811319;4.6905987;56;1;1.5;2;4;1;;;;;;;;;
