Variant i,Variant j,Total Time,Summarization Time,Mapping Time,Number of Events,Average Number of Application,Average Number of Offer,Largest Type Object Set,Cost,Lane Optionality
0,1,1.167968799999997,1.067507699999993,0.10046110000000397,27,1.0,1.0,1,8,0
0,2,0.5751515999999839,0.2957883999999922,0.2793631999999917,28,1.0,1.5,2,9,1
0,3,1.2680725000000024,0.43335150000000056,0.8347210000000018,29,1.0,1.0,1,7,0
0,4,15.076862500000004,1.1171455000000066,13.959716999999998,30,1.0,1.0,1,9,0
0,5,0.26529069999998,0.22505439999999055,0.040236299999989456,23,1.0,1.0,1,10,0
0,6,0.8264361000000093,0.8170321000000058,0.00940400000000352,30,1.0,1.0,1,4,0
0,7,3.7483880000000056,1.6174464999999998,2.130941500000006,31,1.0,1.5,2,9,1
0,8,1.152786699999993,0.903733299999999,0.24905339999999399,26,1.0,1.5,2,13,1
0,9,3.659264499999992,1.7308251999999982,1.9284392999999938,30,1.0,1.5,2,7,1
0,10,12.559238100000016,5.33033930000002,7.228898799999996,32,1.0,1.5,2,9,1
0,11,38.306674500000014,4.047018500000007,34.25965600000001,31,1.0,1.5,2,12,1
0,12,3.6603808999999785,0.03895849999997836,3.6214224,28,1.0,1.0,1,7,0
0,13,0.10290150000002996,0.014805600000016739,0.08809590000001322,28,1.0,1.0,1,2,0
0,14,1.2864125999999771,0.4070748999999978,0.8793376999999793,25,1.0,1.5,2,15,1
0,15,0.9480559000000142,0.01959990000000289,0.9284560000000113,26,1.0,1.0,1,4,0
0,16,1.295556299999987,0.41238350000000423,0.8831727999999828,25,1.0,1.5,2,15,1
0,17,4.637547499999982,0.042256600000001754,4.595290899999981,28,1.0,1.0,1,4,0
0,18,1.4416645000000017,0.5159279000000083,0.9257365999999934,29,1.0,1.0,1,5,0
0,19,1.15825319999999,0.7721522999999877,0.3861009000000024,26,1.0,1.5,2,14,1
0,20,0.11386839999997278,0.07038109999999165,0.04348729999998113,20,1.0,1.0,1,13,0
0,21,1.0530312999999865,0.8227316999999914,0.23029959999999505,26,1.0,1.5,2,12,1
0,22,0.37553090000002953,0.07650600000002328,0.29902490000000626,25,1.0,1.0,1,5,0
0,23,1.5859029000000078,0.5602645999999822,1.0256383000000255,29,1.0,1.0,1,5,0
0,24,0.7049003000000198,0.5492872000000091,0.15561310000001072,26,1.0,1.0,1,7,0
0,25,0.4828998999999783,0.43156139999999255,0.05133849999998574,24,1.0,1.0,1,9,0
0,26,1.6602082999999936,0.1942707999999982,1.4659374999999955,26,1.0,1.5,2,9,1
0,27,0.2971603000000016,0.2538581000000022,0.0433021999999994,26,1.0,1.0,1,8,0
0,28,0.36494809999999234,0.16039299999999912,0.20455509999999322,24,1.0,1.0,1,10,0
0,29,0.08278549999999996,0.06262209999999868,0.020163400000001275,20,1.0,1.0,1,12,0
0,30,7.923524299999968,1.5046669999999835,6.418857299999985,28,1.0,1.5,2,15,1
0,31,1.040994100000006,0.026017999999993435,1.0149761000000126,29,1.0,1.0,1,5,0
0,32,0.26214529999998604,0.22174799999999095,0.040397299999995084,23,1.0,1.0,1,10,0
0,33,0.22582949999997481,0.13043309999997632,0.0953963999999985,25,1.0,1.0,1,9,0
0,34,2.1471180999999717,0.5839768999999819,1.5631411999999898,26,1.0,1.0,1,8,0
0,35,2.893858399999999,1.2998259000000019,1.5940324999999973,30,1.0,1.5,2,10,1
0,36,0.8770623999999998,0.308011300000004,0.5690510999999958,25,1.0,1.0,1,8,0
0,37,2.386527299999983,1.3506434999999897,1.0358837999999935,28,1.0,1.5,2,15,1
0,38,0.9458722999999907,0.6489502999999957,0.296921999999995,26,1.0,1.0,1,9,0
0,39,4.7950097000000085,3.097360299999991,1.6976494000000173,29,1.0,1.5,2,13,1
0,40,2.3303796999999804,0.2596496999999829,2.0707299999999975,27,1.0,1.5,2,15,1
0,41,0.39347340000000486,0.3202311000000009,0.07324230000000398,25,1.0,1.0,1,7,0
0,42,2.7083135999999968,0.9536157000000003,1.7546978999999965,29,1.0,1.0,1,9,0
0,43,10.92619019999998,5.141592399999979,5.7845978,32,1.0,2.0,3,16,1
0,44,3.571872099999979,1.3420476999999948,2.229824399999984,30,1.0,1.5,2,8,1
0,45,3.4909234999999796,1.4840588999999795,2.0068646,30,1.0,1.0,1,8,0
0,46,0.5766284000000041,0.39232889999999543,0.18429950000000872,25,1.0,1.0,1,8,0
0,47,1.0985370000000216,0.38261220000001117,0.7159248000000105,24,1.0,1.0,1,10,0
0,48,9.09143419999998,1.223037699999992,7.868396499999989,29,1.0,1.5,2,10,1
0,49,32.15336790000006,4.117638200000044,28.03572970000002,31,1.0,2.0,3,16,1
1,2,0.958409500000073,0.6317344000000276,0.3266751000000454,27,1.0,1.5,2,13,1
