event_activity,event_timestamp,order,item,delivery,event_id
Place Order,605,"{""order1""}","{""item2"",""item3""}",{},0
Confirm Order,606,"{""order1""}","{""item2"",""item3""}",{},1
Pick Item,937,{},"{""item3""}",{},2
Pick Item,937,{},"{""item2""}",{},3
Pay Order,937,"{""order1""}",{},{},4
Place Order,1204,"{""order2""}","{""item4"",""item5""}",{},5
Confirm Order,1205,"{""order2""}","{""item4"",""item5""}",{},6
Item out of stock,1532,{},"{""item5""}",{},7
Pick Item,1533,{},"{""item4""}",{},8
Pay Order,1533,"{""order2""}",{},{},9
Reorder Item,1533,{},"{""item5""}",{},10
Place Order,1798,"{""order3""}","{""item6"",""item7""}",{},11
Confirm Order,1799,"{""order3""}","{""item6"",""item7""}",{},12
Item out of stock,2125,{},"{""item7""}",{},13
Item out of stock,2125,{},"{""item6""}",{},14
Payment Reminder,2126,"{""order3""}",{},{},15
Reorder Item,2126,{},"{""item7""}",{},16
Reorder Item,2126,{},"{""item6""}",{},17
Place Order,2386,"{""order4""}","{""item9"",""item8""}",{},18
Confirm Order,2387,"{""order4""}","{""item9"",""item8""}",{},19
Payment Reminder,2701,"{""order4""}",{},{},20
Item out of stock,2700,{},"{""item8""}",{},21
Reorder Item,2701,{},"{""item8""}",{},22
Item out of stock,2700,{},"{""item9""}",{},23
Reorder Item,2701,{},"{""item9""}",{},24
Load Cargo,2759,{},"{""item2"",""item3""}","{""delivery3""}",25
Place Order,2926,"{""order5""}","{""item11"",""item10""}",{},26
Confirm Order,2927,"{""order5""}","{""item11"",""item10""}",{},27
Pay Order,3232,"{""order5""}",{},{},28
Pick Item,3232,{},"{""item10""}",{},29
Pick Item,3232,{},"{""item11""}",{},30
Place Order,3521,"{""order6""}","{""item12"",""item13""}",{},31
Confirm Order,3522,"{""order6""}","{""item12"",""item13""}",{},32
Item out of stock,3799,{},"{""item13""}",{},33
Pick Item,3800,{},"{""item12""}",{},34
Payment Reminder,3800,"{""order6""}",{},{},35
Reorder Item,3800,{},"{""item13""}",{},36
Place Order,4158,"{""order7""}","{""item14"",""item15""}",{},37
Confirm Order,4159,"{""order7""}","{""item14"",""item15""}",{},38
Item out of stock,4468,{},"{""item14""}",{},39
Reorder Item,4469,{},"{""item14""}",{},40
Pay Order,4469,"{""order7""}",{},{},41
Pick Item,4469,{},"{""item15""}",{},42
Place Order,4753,"{""order8""}","{""item16"",""item17""}",{},43
Confirm Order,4754,"{""order8""}","{""item16"",""item17""}",{},44
Item out of stock,5066,{},"{""item17""}",{},45
Payment Reminder,5067,"{""order8""}",{},{},46
Reorder Item,5067,{},"{""item17""}",{},47
Pick Item,5067,{},"{""item16""}",{},48
Load Cargo,5071,{},"{""item11"",""item4""}","{""delivery1""}",49
Place Order,5329,"{""order9""}","{""item19"",""item18""}",{},50
Confirm Order,5330,"{""order9""}","{""item19"",""item18""}",{},51
Item out of stock,5616,{},"{""item18""}",{},52
Pick Item,5617,{},"{""item19""}",{},53
Pay Order,5617,"{""order9""}",{},{},54
Reorder Item,5617,{},"{""item18""}",{},55
Load Cargo,5638,{},"{""item10"",""item12""}","{""delivery7""}",56
Place Order,5946,"{""order10""}","{""item20"",""item21""}",{},57
Confirm Order,5947,"{""order10""}","{""item20"",""item21""}",{},58
Pay Order,6265,"{""order10""}",{},{},59
Pick Item,6265,{},"{""item21""}",{},60
Pick Item,6265,{},"{""item20""}",{},61
Place Order,6512,"{""order11""}","{""item22"",""item23""}",{},62
Confirm Order,6513,"{""order11""}","{""item22"",""item23""}",{},63
Payment Reminder,6804,"{""order11""}",{},{},64
Item out of stock,6803,{},"{""item23""}",{},65
Reorder Item,6804,{},"{""item23""}",{},66
Item out of stock,6803,{},"{""item22""}",{},67
Reorder Item,6804,{},"{""item22""}",{},68
Load Cargo,6865,{},"{""item16"",""item15""}","{""delivery5""}",69
Place Order,7105,"{""order12""}","{""item25"",""item24""}",{},70
