Variant i;Variant j;Total Time;Summarization Time;Mapping Time;Number of Events;Average Number of Application;Average Number of Offer;Largest Type Object Set;Cost;Lane Optionality;n;;;;;;;
0;1;1.1682529;0.6729677;0.4952852;30;1;1;1;6;0;2;;1;2;3;4;5;
0;2;5.2774337;5.1046244;0.1728093;34;1;1.5;2;6;1;2;;1.7;1.7;1.5;1.7;1.1;2
0;3;1.1154479;1.06199;0.0534579;29;1;1.5;2;12;1;2;;1.8;1.8;1.6;2.4;1.1;4
0;4;12.9879275;6.8677894;6.1201381;30;1;1.5;2;16;1;2;;1.9;2.1;1.7;3;1.1;8
0;5;0.5841581;0.5761448;0.0080133;28;1;1;1;6;0;2;;;;;;;
0;6;8.0782404;1.293221;6.7850194;31;1;1.5;2;11;1;2;;;;;;;
0;7;5.3005043;5.2827596;0.0177447;32;1;1.5;2;12;1;2;;;;;;;
0;8;25.4437977;11.9479418;13.4958559;28;1;1.5;2;16;1;2;;;;;;;
0;9;14.515205;7.2367816;7.2784234;30;1;1.5;2;16;1;2;;;;;;;
1;2;4.4254758;2.3931749;2.0323009;32;1;1.5;2;9;1;2;;;;;;;
1;3;0.4009754;0.2706874;0.130288;27;1;1.5;2;9;1;2;;;;;;;
1;4;0.5300173;0.51449;0.0155273;28;1;1.5;2;12;1;2;;;;;;;
1;5;0.2874923;0.2033415;0.0841508;26;1;1;1;5;0;2;;;;;;;
1;6;3.675283;0.743573;2.93171;29;1;1.5;2;8;1;2;;;;;;;
1;7;3.1668805;2.2021881;0.9646924;30;1;1.5;2;13;1;2;;;;;;;
1;8;4.2694628;2.7003178;1.569145;26;1;1.5;2;13;1;2;;;;;;;
1;9;0.5889445;0.560392;0.0285525;28;1;1.5;2;13;1;2;;;;;;;
2;3;0.160939;0.061989;0.09895;31;1;2;2;8;0;2;;;;;;;
2;4;24.5943322;10.956394;13.6379382;32;1;2;2;21;0;2;;;;;;;
2;5;1.3627491;1.3250163;0.0377328;30;1;1.5;2;9;1;2;;;;;;;
2;6;18.0607811;0.0407274;18.0200537;33;1;2;2;7;0;2;;;;;;;
2;7;12.9838877;12.5096309;0.4742568;34;1;2;2;17;0;2;;;;;;;
2;8;26.9750616;4.9832433;21.9918183;30;1;2;2;17;0;2;;;;;;;
2;9;27.1381948;11.2352476;15.9029472;32;1;2;2;20;0;2;;;;;;;
3;4;0.5876236;0.389779;0.1978446;27;1;2;2;16;0;2;;;;;;;
3;5;0.1494853;0.1375775;0.0119078;25;1;1.5;2;8;1;2;;;;;;;
3;6;0.7704433;0.0263672;0.7440761;28;1;2;2;3;0;2;;;;;;;
3;7;1.0088363;0.9547094;0.0541269;29;1;2;2;17;0;2;;;;;;;
3;8;0.3810558;0.1555684;0.2254874;25;1;2;2;14;0;2;;;;;;;
3;9;0.6640406;0.4350135;0.2290271;27;1;2;2;18;0;2;;;;;;;
4;5;0.6489094;0.4309492;0.2179602;26;1;1.5;2;14;1;2;;;;;;;
4;6;10.4476934;2.0056179;8.4420755;29;1;2;2;18;0;2;;;;;;;
4;7;1.0631228;0.4423655;0.6207573;30;1;2;2;6;0;2;;;;;;;
4;8;1.490554;0.9406348;0.5499192;26;1;2;2;13;0;2;;;;;;;
4;9;0.0458011;0.0319553;0.0138458;28;1;2;2;2;0;2;;;;;;;
5;6;1.1073714;0.3212079;0.7861635;27;1;1.5;2;11;1;2;;;;;;;
5;7;0.9988386;0.9870626;0.011776;28;1;1.5;2;13;1;2;;;;;;;
5;8;1.0283857;0.6306883;0.3976974;24;1;1.5;2;12;1;2;;;;;;;
5;9;0.7202627;0.464474;0.2557887;26;1;1.5;2;13;1;2;;;;;;;
6;7;12.5663513;2.4352922;10.1310591;31;1;2;2;16;0;2;;;;;;;
6;8;10.7391298;0.753412;9.9857178;27;1;2;2;16;0;2;;;;;;;
6;9;10.7859491;2.135066;8.6508831;29;1;2;2;19;0;2;;;;;;;
7;8;8.4238201;4.0203424;4.4034777;28;1;2;2;15;0;2;;;;;;;
7;9;1.2183622;0.490756;0.7276062;30;1;2;2;7;0;2;;;;;;;
