Variant i,Variant j,Total Time,Summarization Time,Mapping Time,Number of Events,Average Number of Application,Average Number of Offer,Largest Type Object Set,Cost,Lane Optionality,n
0,1,0.24536599999998998,0.22597729999999672,0.019388699999993264,28,1.0,2.0,2,17,0,2
0,2,0.09796460000001161,0.0726373000000109,0.02532730000000072,24,1.0,2.0,2,15,0,2
0,3,1.1177098,0.07936359999999354,1.0383462000000065,26,1.0,1.5,2,14,1,2
0,4,0.5933239999999955,0.13957630000000165,0.45374769999999387,26,1.0,2.0,2,17,0,2
0,5,0.5864892999999967,0.28026820000000896,0.3062210999999877,24,1.0,1.5,2,13,1,2
0,6,0.15963130000000092,0.1416571000000033,0.01797419999999761,26,1.0,2.0,2,16,0,2
0,7,0.6768584999999945,0.2331479999999999,0.44371049999999457,25,1.0,2.0,2,12,0,2
0,8,1.0021466999999973,0.49535799999999597,0.5067887000000013,25,1.0,1.5,2,14,1,2
0,9,0.618144099999995,0.09775940000000105,0.5203846999999939,27,1.0,2.0,2,7,0,2
1,2,0.22908720000000926,0.05435750000000894,0.17472970000000032,30,1.0,2.0,2,9,0,2
1,3,33.95266930000001,1.285211700000005,32.667457600000006,32,1.0,1.5,2,12,1,2
1,4,4.605435499999999,0.040655499999999734,4.564779999999999,32,1.0,2.0,2,7,0,2
1,5,10.662441000000015,2.0830599000000234,8.579381099999992,30,1.0,1.5,2,13,1,2
1,6,0.060514200000028495,0.04622140000000741,0.014292800000021089,32,1.0,2.0,2,4,0,2
1,7,27.830931700000008,4.179954700000025,23.650976999999983,31,1.0,2.0,2,22,0,2
1,8,15.240113900000011,2.6368063000000177,12.603307599999994,31,1.0,1.5,2,11,1,2
1,9,132.84976559999998,4.467308199999991,128.3824574,33,1.0,2.0,2,20,0,2
2,3,3.850636800000018,0.3116042000000334,3.5390325999999845,28,1.0,1.5,2,13,1,2
2,4,0.7425028999999768,0.0355619000000047,0.7069409999999721,28,1.0,2.0,2,6,0,2
2,5,1.11795520000004,0.45675170000004073,0.6612034999999992,26,1.0,1.5,2,11,1,2
2,6,0.12017359999998689,0.03521810000000869,0.0849554999999782,28,1.0,2.0,2,5,0,2
2,7,2.563867400000049,0.5288001000000122,2.035067300000037,27,1.0,2.0,2,18,0,2
2,8,1.6509462000000212,0.7532330999999886,0.8977131000000327,27,1.0,1.5,2,12,1,2
2,9,5.001707399999987,0.38096669999998767,4.620740699999999,29,1.0,2.0,2,17,0,2
3,4,18.09363430000002,0.7426022000000216,17.351032099999998,30,1.0,1.5,2,11,1,2
3,5,2.0215233000000126,1.3397338999999988,0.6817894000000138,28,1.0,1.0,1,9,0,2
3,6,18.681702599999994,0.8117116999999894,17.869990900000005,30,1.0,1.5,2,12,1,2
3,7,4.40838240000005,3.2773615000000405,1.13102090000001,29,1.0,1.5,2,16,1,2
3,8,2.725165500000003,1.758652799999993,0.9665127000000098,29,1.0,1.0,1,7,0,2
3,9,3.2784220000000346,2.151318300000014,1.1271037000000206,31,1.0,1.5,2,13,1,2
4,5,3.637435900000014,1.1078688000000056,2.5295671000000084,28,1.0,1.5,2,14,1,2
4,6,2.3431962000000226,0.040560599999992064,2.3026356000000305,30,1.0,2.0,2,7,0,2
4,7,10.937245399999995,2.1803636999999867,8.756881700000008,29,1.0,2.0,2,19,0,2
4,8,4.882919699999945,1.3372885999999653,3.54563109999998,29,1.0,1.5,2,13,1,2
4,9,29.9251304,1.8929598000000283,28.032170599999972,31,1.0,2.0,2,19,0,2
5,6,6.339902499999937,1.341562099999976,4.998340399999961,28,1.0,1.5,2,11,1,2
5,7,0.28862750000001824,0.06702089999998861,0.22160660000002963,27,1.0,1.5,2,11,1,2
5,8,0.281914899999947,0.2735885999999823,0.008326299999964704,27,1.0,1.0,1,3,0,2
5,9,7.081253999999944,3.498838399999954,3.5824155999999903,29,1.0,1.5,2,14,1,2
6,7,12.657329900000036,1.9340458000000353,10.7232841,29,1.0,2.0,2,20,0,2
6,8,9.771891900000014,1.7640468999999825,8.007845000000032,29,1.0,1.5,2,10,1,2
6,9,49.31718489999997,2.0664082999999778,47.250776599999995,31,1.0,2.0,2,19,0,2
7,8,1.9013484999999264,0.9265649999999823,0.9747834999999441,28,1.0,1.5,2,14,1,2
7,9,3.710006099999987,2.1680645999999797,1.5419415000000072,30,1.0,2.0,2,12,0,2
8,9,20.26274209999997,8.379090799999972,11.883651299999997,30,1.0,1.5,2,15,1,2
0,1,0.3907136000000264,0.09359910000000582,0.2971145000000206,43,1.0,3.0,3,3,0,4
0,2,54.842239099999915,0.12809409999999843,54.71414499999992,44,1.0,2.5,3,7,1,4
0,3,7.352129100000184,0.08249410000007629,7.2696350000001075,45,1.0,3.0,3,1,0,4
0,4,14.506028799999967,0.1160603999999239,14.389968400000043,41,1.0,2.5,3,8,1,4
0,5,0.15460280000002058,0.10460459999990235,0.04999820000011823,45,1.0,3.0,3,2,0,4
0,6,29.99278809999987,0.14835579999999027,29.84443229999988,42,1.0,2.5,3,8,1,4
0,7,21.576003599999922,0.118355099999917,21.457648500000005,42,1.0,2.5,3,8,1,4
0,8,157.82240019999995,0.1418352999999115,157.68056490000004,42,1.0,2.5,3,10,1,4
0,9,0.3289144000000306,0.08091039999999339,0.2480040000000372,43,1.0,2.5,3,9,1,4
1,2,7.64097229999993,0.1280080999999882,7.512964199999942,41,1.0,2.5,3,7,1,4
1,3,1.8272428999998738,0.1065209999999297,1.720721899999944,42,1.0,3.0,3,2,0,4
1,4,1.7302819999999883,0.1429476999999224,1.587334300000066,38,1.0,2.5,3,7,1,4
1,5,0.268278200000168,0.10338830000000598,0.16488990000016202,42,1.0,3.0,3,1,0,4
1,6,3.217435900000055,0.15916949999996177,3.058266400000093,39,1.0,2.5,3,7,1,4
1,7,2.451470499999914,0.14274729999988267,2.3087232000000313,39,1.0,2.5,3,7,1,4
1,8,6.555059699999902,0.17996789999983775,6.375091800000064,39,1.0,2.5,3,9,1,4
1,9,0.33278919999997925,0.08616899999992711,0.24662020000005214,40,1.0,2.5,3,9,1,4
2,3,31.04958929999998,0.13020899999992253,30.919380300000057,43,1.0,2.5,3,7,1,4
2,4,3.2042871000001014,0.1262957000001279,3.0779913999999735,39,1.0,2.0,2,0,0,4
2,5,31.438776199999893,0.1190799999999399,31.319696199999953,43,1.0,2.5,3,7,1,4
2,6,3.4416509000000133,0.16167380000001685,3.2799770999999964,40,1.0,2.0,2,3,0,4
2,7,4.030356600000005,0.12863179999999375,3.901724800000011,40,1.0,2.0,2,0,0,4
2,8,3.486269900000025,0.1670825999999579,3.319187300000067,40,1.0,2.0,2,4,0,4
2,9,46.59159039999986,0.09680460000004132,46.49478579999982,41,1.0,2.0,2,13,0,4
3,4,5.3432143,0.12477540000008958,5.21843889999991,40,1.0,2.5,3,7,1,4
3,5,4.18029700000011,0.09551329999999325,4.084783700000116,44,1.0,3.0,3,3,0,4
3,6,12.092356999999765,0.14728199999990466,11.94507499999986,41,1.0,2.5,3,8,1,4
3,7,7.265072299999929,0.12573709999992388,7.139335200000005,41,1.0,2.5,3,7,1,4
