Level;Total Time;Mapping Time;Clustering Time;Summarization Time;Size;Number of Summarizations;Average Number of Offers;;;;;;;;;;
4;201.791032;66.5971286;0.004366;135.1895323;2;1;2;;;;Total ;;Mapping ;;Clustering;;Summarization
3;128.3096635;79.3791907;0.0088016;48.9216568;4;2;1.5;;;;;;;;;;
2;97.929223;78.6582129;0.0383461;19.2326461;8;4;1.5;;;Average;1509.951018;;899.7525345;;1.3861715;;608.8122534
1;95.1447642;89.3504747;0.2364085;5.5578633;16;8;1.375;;;Median;1616.189152;;1007.662027;;0.3410564;;603.3609068
4;1053.357585;268.6235917;0.0038257;784.7301617;2;1;3;;;;;;;;;;
3;508.9595887;361.8616054;0.0071887;147.090786;4;2;2;;;;;;;;;;
2;564.6768465;429.0950139;0.0402943;135.541523;8;4;1.75;;;;;;;;;;
1;402.8991594;395.8193843;0.2897477;6.789978;16;8;1.625;;;;;;;;;;
4;633.7420865;236.388636;0.0042269;397.3492181;2;1;2.5;;;;;;;;;;
3;644.2386583;305.7592237;0.0071758;338.4722495;4;2;2;;;;;;;;;;
2;502.9615275;392.5576276;0.0360765;110.3678063;8;4;1.875;;;;;;;;;;
1;440.49624;413.6630323;0.7537898;26.079401;16;8;1.75;;;;;;;;;;
4;268.4950182;89.4819592;0.0043662;179.0086878;2;1;2;;;;;;;;;;
3;155.7509219;76.3248413;0.0069944;79.4190774;4;2;1.5;;;;;;;;;;
2;111.4612579;94.6557661;0.0397615;16.7657115;8;4;1.5;;;;;;;;;;
1;123.3523656;112.8849569;0.2833173;10.1840612;16;8;1.4375;;;;;;;;;;
4;579.2118402;213.7552075;0.0039777;365.4526495;2;1;2.5;;;;;;;;;;
3;352.1231477;254.6341793;0.0066439;97.4823143;4;2;2;;;;;;;;;;
2;404.3175786;281.9284269;0.0539506;122.3351862;8;4;1.875;;;;;;;;;;
1;280.5365859;257.3442133;5.1015983;18.0907568;16;8;1.8125;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
1;523.1746827;313.9850069;0.2879222;208.9016985;;4;547.3195124;;;;;;;;;;
2;2529.89318;1455.399595;0.3410564;1074.152449;;3;357.876396;;;;;;;;;;
3;2221.438512;1348.36852;0.801269;872.2686749;;2;336.2692867;;;;;;;;;;
4;659.0595636;373.3475235;0.3344394;285.3775379;;1;268.485823;;;;;;;;;;
5;1616.189152;1007.662027;5.1661705;603.3609068;;;;;;;;;;;;;
