Variant i;Variant j;Total Time;Summarization Time;Mapping Time;Number of Events;Average Number of Application;Average Number of Offer;Largest Type Object Set;Cost;Lane Optionality;;Total;;;Mapping;;;Summarization;
0;5;0.4693699;0.1244991;0.3448708;24;1;1;1;4;0;;Average;2.694283968;;Average;1.826862193;;Average;0.867421775
0;6;1.5250193;0.0243845;1.5006348;26;1;1;1;5;0;;Median;0.8529169;;Median;0.3668458;;Median;0.3533836
0;9;0.9870549;0.6797089;0.307346;26;1;1;1;7;0;;Maximum;32.3133797;;Maximum;25.6672922;;Maximum;18.4938267
0;11;0.5633456;0.2130138;0.3503318;24;1;1;1;7;0;;Minimum;0.0291738;;Minimum;0.006678;;Minimum;0.0124658
0;12;0.1624998;0.0652326;0.0972672;23;1;1;1;6;0;;;;;;;;;
0;13;3.6379404;0.9134033;2.7245371;26;1;1;1;8;0;;;;;;;;;
0;19;3.0619869;0.0833318;2.9786551;27;1;1;1;5;0;;1;0.751725082;;;;;;
5;6;0.0895509;0.0824903;0.0070606;24;1;1;1;5;0;;1.5;2.841667082;;;;;;
5;9;0.2512225;0.0769839;0.1742386;24;1;1;1;6;0;;2;3.30402442;;;;;;
5;11;0.1268494;0.0784349;0.0484145;22;1;1;1;7;0;;2.5;NaN;;;;;;
5;12;0.0299889;0.0124658;0.0175231;21;1;1;1;3;0;;3;NaN;;;;;;
5;13;0.2575004;0.2502813;0.0072191;24;1;1;1;7;0;;;;;;;;;
5;19;0.1051915;0.0980813;0.0071102;25;1;1;1;5;0;;1.6;;;;;;;
6;9;1.3753264;0.5121873;0.8631391;26;1;1;1;8;0;;;;;;;;;
6;11;0.2644996;0.1466098;0.1178898;24;1;1;1;9;0;;;;;;;;;
6;12;0.1714484;0.075784;0.0956644;23;1;1;1;8;0;;;;;;;;;
6;13;0.3878631;0.379872;0.0079911;26;1;1;1;7;0;;;;;;;;;
6;19;0.0291738;0.0214145;0.0077593;27;1;1;1;4;0;;;;;;;;;
9;11;0.3515438;0.1821348;0.169409;24;1;1;1;8;0;;;;;;;;;
9;12;0.1377086;0.0567789;0.0809297;23;1;1;1;8;0;;;;;;;;;
9;13;2.0877047;0.7516176;1.3360871;26;1;1;1;8;0;;;;;;;;;
9;19;2.9994694;0.9296302;2.0698392;27;1;1;1;8;0;;;;;;;;;
11;12;0.0716353;0.0649573;0.006678;21;1;1;1;6;0;;;;;;;;;
11;13;0.1647543;0.0631278;0.1016265;24;1;1;1;4;0;;;;;;;;;
11;19;0.470225;0.2523055;0.2179195;25;1;1;1;9;0;;;;;;;;;
12;13;0.3254134;0.1767228;0.1486906;23;1;1;1;10;0;;;;;;;;;
12;19;0.2488947;0.0962017;0.152693;24;1;1;1;8;0;;;;;;;;;
13;19;0.6951214;0.6866001;0.0085213;27;1;1;1;6;0;;;;;;;;;
0;1;0.7565829;0.4799311;0.2766518;27;1;1.5;2;9;1;;;;;;;;;
0;2;0.3699514;0.2968898;0.0730616;24;1;1.5;2;12;1;;;;;;;;;
0;3;1.2593439;0.822368;0.4369759;27;1;1.5;2;13;1;;;;;;;;;
0;4;1.5708321;0.8478272;0.7230049;28;1;1.5;2;7;1;;;;;;;;;
0;7;0.6962435;0.4810688;0.2151747;25;1;1.5;2;12;1;;;;;;;;;
0;8;0.6251047;0.3782027;0.246902;27;1;1.5;2;9;1;;;;;;;;;
0;10;0.6091478;0.4360379;0.1731099;25;1;1.5;2;11;1;;;;;;;;;
0;14;2.1476791;0.5247628;1.6229163;26;1;1.5;2;13;1;;;;;;;;;
0;15;5.0522329;2.6106455;2.4415874;30;1;1.5;2;10;1;;;;;;;;;
0;16;11.6882787;6.285465;5.4028137;32;1;1.5;2;12;1;;;;;;;;;
0;17;5.8877152;3.4763292;2.411386;31;1;1.5;2;12;1;;;;;;;;;
0;18;2.6401627;1.4315436;1.2086191;29;1;1.5;2;10;1;;;;;;;;;
1;5;0.2757275;0.0572654;0.2184621;25;1;1.5;2;8;1;;;;;;;;;
1;6;3.6940023;0.6951327;2.9988696;27;1;1.5;2;12;1;;;;;;;;;
1;9;0.9610709;0.5036585;0.4574124;27;1;1.5;2;12;1;;;;;;;;;
1;11;0.539275;0.0946551;0.4446199;25;1;1.5;2;10;1;;;;;;;;;
1;12;0.1193576;0.0512572;0.0681004;24;1;1.5;2;6;1;;;;;;;;;
1;13;5.0412672;0.9630619;4.0782053;27;1;1.5;2;13;1;;;;;;;;;
