Variant i;Variant j;Total Time;Summarization Time;Mapping Time;Number of Events;Average Number of Application;Average Number of Offer;Largest Type Object Set;Cost;Lane Optionality;;Total;;;Mapping;;;Summarization;
2;3;57.9121489;1.8181909;56.093958;93;1;2;2;7;0;;Average;55.17161381;;Average;54.17058988;;Average;1.181332582
2;4;98.7062653;1.0306622;97.6756031;97;1;2;2;2;0;;Median;46.855834;;Median;46.1889093;;Median;1.0655077
2;5;41.169752;1.0331725;40.1365795;95;1;2;2;2;0;;Maximum;163.7020688;;Maximum;162.8022028;;Maximum;2.1993874
2;6;44.0597714;NaN;44.0597714;98;1;2;2;NaN;0;;Minimum;11.0025207;;Minimum;11.0025207;;Minimum;0.429815
2;9;53.9162509;0.868197;53.0480539;92;1;2;2;6;0;;;;;;;;;
2;10;100.2143019;0.7301548;99.4841471;84;1;2;2;0;0;;;;;;;;;
2;12;64.9383848;0.9341145;64.0042703;100;1;2;2;6;0;;;;;;;;;
2;14;106.9122938;0.9109806;106.0013132;95;1;2;2;0;0;;1;NaN;;;;;;
2;17;69.1032774;1.9131574;67.19012;101;1;2;2;7;0;;1.5;NaN;;;;;;
3;4;60.0801329;1.0817149;58.998418;90;1;2;2;9;0;;2;51.99130989;;;;;;
3;5;17.3524575;NaN;17.3524575;88;1;2;2;NaN;0;;2.5;58.19583519;;;;;;
3;6;28.93742;2.1928288;26.7445912;91;1;2;2;3;0;;3;54.85708325;;;;;;
3;9;22.6212491;1.1337796;21.4874695;85;1;2;2;1;0;;3.5;42.43852018;;;;;;
3;10;61.2468238;0.7745224;60.4723014;77;1;2;2;11;0;;;;;;;;;
3;12;28.6253049;1.2179598;27.4073451;93;1;2;2;1;0;;;;;;;;;
3;14;60.9842359;NaN;60.9842359;88;1;2;2;NaN;0;;2.55;;;;;;;
3;17;38.8243241;1.3015728;37.5227513;94;1;2;2;0;0;;;;;;;;;
4;5;41.5563365;1.8590602;39.6972763;92;1;2;2;0;0;;;;;;;;;
4;6;47.069813;NaN;47.069813;95;1;2;2;NaN;0;;;;;;;;;
4;9;56.2080759;0.9741348;55.2339411;89;1;2;2;8;0;;;;;;;;;
4;10;97.114125;0.5530493;96.5610757;81;1;2;2;4;0;;;;;;;;;
4;12;62.3235981;1.033068;61.2905301;97;1;2;2;8;0;;;;;;;;;
4;14;104.1781267;0.7293607;103.448766;92;1;2;2;4;0;;;;;;;;;
4;17;65.8922368;1.1651014;64.7271354;98;1;2;2;9;0;;;;;;;;;
5;6;19.7084814;2.0846167;17.6238647;93;1;2;2;8;0;;;;;;;;;
5;9;11.0025207;NaN;11.0025207;87;1;2;2;NaN;0;;;;;;;;;
5;10;41.7484435;0.662438;41.0860055;79;1;2;2;4;0;;;;;;;;;
5;12;13.6998361;NaN;13.6998361;95;1;2;2;NaN;0;;;;;;;;;
5;14;43.9221411;1.7534455;42.1686956;90;1;2;2;3;0;;;;;;;;;
5;17;19.9698802;NaN;19.9698802;96;1;2;2;NaN;0;;;;;;;;;
6;9;24.131498;1.1282002;23.0032978;90;1;2;2;3;0;;;;;;;;;
6;10;48.3904159;0.8194106;47.5710053;82;1;2;2;9;0;;;;;;;;;
6;12;29.7366453;1.2136162;28.5230291;98;1;2;2;3;0;;;;;;;;;
6;14;48.8116564;NaN;48.8116564;93;1;2;2;NaN;0;;;;;;;;;
6;17;33.4107391;1.3217938;32.0889453;99;1;2;2;3;0;;;;;;;;;
9;10;59.1366294;0.6447109;58.4919185;76;1;2;2;10;0;;;;;;;;;
9;12;17.9650412;2.0785751;15.8864661;92;1;2;2;0;0;;;;;;;;;
9;14;58.8827658;0.858921;58.0238448;87;1;2;2;10;0;;;;;;;;;
9;17;32.0576858;2.1989801;29.8587057;93;1;2;2;1;0;;;;;;;;;
10;12;64.9789957;0.7128355;64.2661602;84;1;2;2;8;0;;;;;;;;;
10;14;106.3986166;0.429815;105.9688016;79;1;2;2;0;0;;;;;;;;;
10;17;66.9476022;0.8377114;66.1098908;85;1;2;2;9;0;;;;;;;;;
12;14;67.9018844;1.8985839;66.0033005;95;1;2;2;8;0;;;;;;;;;
12;17;30.0736401;1.3022619;28.7713782;101;1;2;2;1;0;;;;;;;;;
14;17;70.7871195;2.0468346;68.7402849;96;1;2;2;9;0;;;;;;;;;
0;2;67.2286361;NaN;67.2286361;95;1;2.5;3;NaN;1;;;;;;;;;
0;3;37.2716257;1.1146792;36.1569465;88;1;2.5;3;7;1;;;;;;;;;
0;4;74.8426127;NaN;74.8426127;92;1;2.5;3;NaN;1;;;;;;;;;
0;5;26.8699176;NaN;26.8699176;90;1;2.5;3;NaN;1;;;;;;;;;
0;6;34.1001005;1.0655275;33.034573;93;1;2.5;3;4;1;;;;;;;;;
0;9;33.5816091;1.7830975;31.7985116;87;1;2.5;3;8;1;;;;;;;;;
0;10;74.6536382;0.5830712;74.070567;79;1;2.5;3;8;1;;;;;;;;;
0;12;44.7826909;1.0139019;43.768789;95;1;2.5;3;8;1;;;;;;;;;
0;14;76.2014718;NaN;76.2014718;90;1;2.5;3;NaN;1;;;;;;;;;
0;17;49.3713191;1.1919246;48.1793945;96;1;2.5;3;7;1;;;;;;;;;
2;7;45.0090524;0.9678246;44.0412278;94;1;2.5;3;6;1;;;;;;;;;
2;8;136.2879662;1.938769;134.3491972;94;1;2.5;3;4;1;;;;;;;;;
2;11;82.0555041;1.0962045;80.9592996;97;1;2.5;3;4;1;;;;;;;;;
2;13;129.8727455;2.0109464;127.8617991;98;1;2.5;3;6;1;;;;;;;;;
2;15;47.8665587;1.0655077;46.801051;92;1;2.5;3;7;1;;;;;;;;;
2;16;49.6554699;1.0026569;48.652813;92;1;2.5;3;4;1;;;;;;;;;
2;18;63.6297422;0.9816211;62.6481211;94;1;2.5;3;6;1;;;;;;;;;
2;19;73.5473537;1.2122657;72.335088;94;1;2.5;3;7;1;;;;;;;;;
3;7;21.6176793;NaN;21.6176793;87;1;2.5;3;NaN;1;;;;;;;;;
3;8;85.9209689;1.07161;84.8493589;87;1;2.5;3;5;1;;;;;;;;;
3;11;42.1100371;2.0548437;40.0551934;90;1;2.5;3;4;1;;;;;;;;;
3;13;83.2794338;1.1413926;82.1380412;91;1;2.5;3;7;1;;;;;;;;;
3;15;34.6694758;1.1149526;33.5545232;85;1;2.5;3;4;1;;;;;;;;;
3;16;21.5025603;1.9729765;19.5295838;85;1;2.5;3;12;1;;;;;;;;;
3;18;36.9895591;1.0565502;35.9330089;87;1;2.5;3;5;1;;;;;;;;;
3;19;44.8654173;1.2303197;43.6350976;87;1;2.5;3;4;1;;;;;;;;;
4;7;44.1210545;0.8137717;43.3072828;91;1;2.5;3;6;1;;;;;;;;;
4;8;137.8491817;NaN;137.8491817;91;1;2.5;3;NaN;1;;;;;;;;;
4;11;89.7528819;NaN;89.7528819;94;1;2.5;3;NaN;1;;;;;;;;;
4;13;134.6967728;1.0086883;133.6880845;95;1;2.5;3;4;1;;;;;;;;;
4;15;48.9366729;0.9851449;47.951528;89;1;2.5;3;5;1;;;;;;;;;
4;16;53.052433;1.8149424;51.2374906;89;1;2.5;3;4;1;;;;;;;;;
4;18;66.6952541;0.8264669;65.8687872;91;1;2.5;3;4;1;;;;;;;;;
4;19;72.8182449;1.109262;71.7089829;91;1;2.5;3;5;1;;;;;;;;;
5;7;13.6976394;0.8980334;12.799606;89;1;2.5;3;4;1;;;;;;;;;
5;8;62.70164;NaN;62.70164;89;1;2.5;3;NaN;1;;;;;;;;;
5;11;25.4621822;NaN;25.4621822;92;1;2.5;3;NaN;1;;;;;;;;;
5;13;64.3436773;1.09872;63.2449573;93;1;2.5;3;4;1;;;;;;;;;
5;15;20.8866828;1.0009852;19.8856976;87;1;2.5;3;5;1;;;;;;;;;
5;16;13.6355178;NaN;13.6355178;87;1;2.5;3;NaN;1;;;;;;;;;
5;18;25.5944555;0.9241901;24.6702654;89;1;2.5;3;4;1;;;;;;;;;
5;19;24.8179809;1.1291109;23.68887;89;1;2.5;3;5;1;;;;;;;;;
6;7;24.3621529;1.0685874;23.2935655;92;1;2.5;3;14;1;;;;;;;;;
6;8;65.260356;1.0899967;64.1703593;92;1;2.5;3;7;1;;;;;;;;;
6;11;36.7234179;2.075568;34.6478499;95;1;2.5;3;6;1;;;;;;;;;
6;13;63.9099448;1.1920443;62.7179005;96;1;2.5;3;4;1;;;;;;;;;
6;15;27.4258057;1.1619362;26.2638695;90;1;2.5;3;7;1;;;;;;;;;
6;16;21.9126871;NaN;21.9126871;90;1;2.5;3;NaN;1;;;;;;;;;
6;18;32.2251612;1.0566523;31.1685089;92;1;2.5;3;7;1;;;;;;;;;
6;19;36.4051864;1.2736562;35.1315302;92;1;2.5;3;7;1;;;;;;;;;
7;9;15.4232532;NaN;15.4232532;86;1;2.5;3;NaN;1;;;;;;;;;
7;10;45.2696271;0.5412846;44.7283425;78;1;2.5;3;9;1;;;;;;;;;
