Variant i,Variant j,Total Time,Summarization Time,Mapping Time,Number of Events,Average Number of Application,Average Number of Offer,Largest Type Object Set,Cost,Lane Optionality
0,1,0.07060239999999851,0.062079699999998184,0.008522700000000327,19,1.0,1.0,1,8,0
0,2,0.07119859999998823,0.04767289999999491,0.02352569999999332,22,1.0,1.5,2,12,1
0,3,0.6029366000000067,0.5375070000000051,0.06542960000000164,24,1.0,1.0,1,16,0
0,4,0.33619819999999834,0.19639639999999758,0.13980180000000075,21,1.0,1.0,1,14,0
0,5,0.0327764999999971,0.023164800000003538,0.009611699999993562,16,1.0,1.0,1,7,0
0,6,0.10336479999999426,0.08225279999999202,0.02111200000000224,22,1.0,1.5,2,13,1
0,7,0.0300155999999987,0.021397999999990702,0.008617600000007997,16,1.0,1.0,1,5,0
0,8,0.09250810000000342,0.02447580000000471,0.06803229999999871,20,1.0,1.0,1,10,0
0,9,0.04229290000000674,0.018926199999995674,0.023366700000011065,17,1.0,1.0,1,7,0
0,10,0.1135630000000134,0.09931690000000515,0.014246100000008255,25,1.0,1.5,2,15,1
0,11,0.11551540000000671,0.0961002000000093,0.019415199999997412,20,1.0,1.0,1,12,0
0,12,0.21176559999999256,0.12471289999999158,0.08705270000000098,20,1.0,1.0,1,13,0
0,13,0.645499600000008,0.13799910000000182,0.5075005000000061,24,1.0,1.5,2,16,1
0,14,0.045263900000009016,0.021418199999999388,0.02384570000000963,18,1.0,1.0,1,7,0
0,15,0.13010739999999998,0.04616699999999696,0.08394040000000302,21,1.0,1.5,2,13,1
0,16,0.8053699999999964,0.7848174999999884,0.020552500000007967,25,1.0,1.0,1,15,0
0,17,0.15844659999999067,0.134799000000001,0.023647599999989666,21,1.0,1.0,1,13,0
0,18,0.1023966999999999,0.08511179999999285,0.017284900000007042,20,1.0,1.0,1,11,0
0,19,0.28867789999999616,0.07975129999999808,0.20892659999999807,24,1.0,1.5,2,16,1
0,20,0.050933100000008835,0.027340000000009468,0.023593099999999367,18,1.0,1.5,2,10,1
0,21,0.09849359999999763,0.08642559999999833,0.012067999999999302,20,1.0,1.5,2,12,1
0,22,0.07993969999999706,0.05331759999999974,0.026622099999997317,22,1.0,1.5,2,13,1
0,23,0.12231040000000348,0.10930749999999989,0.013002900000003592,21,1.0,1.5,2,15,1
0,24,0.36435769999999934,0.3049714999999935,0.05938620000000583,22,1.0,1.0,1,14,0
0,25,0.15453619999998125,0.09144189999999242,0.06309429999998883,19,1.0,1.0,1,11,0
0,26,0.8059895999999895,0.4605145999999962,0.3454749999999933,23,1.0,1.0,1,16,0
0,27,0.25285610000000247,0.06831619999999816,0.1845399000000043,22,1.0,1.5,2,15,1
0,28,0.1703973999999846,0.08803259999999113,0.08236479999999347,20,1.0,1.5,2,17,1
0,29,0.09542620000000568,0.039055300000001125,0.056370900000004553,20,1.0,1.5,2,12,1
0,30,0.0244650000000064,0.01433579999999779,0.010129200000008609,15,1.0,1.0,1,6,0
0,31,0.11238350000000707,0.10050640000000044,0.011877100000006635,20,1.0,1.0,1,11,0
0,32,0.07403410000000576,0.051233400000000984,0.02280070000000478,18,1.0,1.0,1,10,0
0,33,0.1360767999999979,0.0873976999999968,0.048679100000001085,25,1.0,1.5,2,16,1
0,34,0.5852937000000082,0.5206597000000102,0.06463399999999808,24,1.0,1.0,1,16,0
0,35,0.08791970000000049,0.07076610000000016,0.017153600000000324,19,1.0,1.0,1,12,0
0,36,0.08748330000000237,0.03797950000000583,0.049503799999996545,20,1.0,1.5,2,12,1
0,37,0.36963079999999593,0.34831979999999874,0.021310999999997193,23,1.0,1.0,1,13,0
0,38,0.023562700000013592,0.014971700000003807,0.008591000000009785,16,1.0,1.0,1,5,0
0,39,0.25414569999999514,0.24476009999999349,0.00938560000000166,22,1.0,1.0,1,12,0
0,40,0.1685490999999928,0.14256149999999934,0.02598759999999345,21,1.0,1.0,1,13,0
0,41,0.25237439999999367,0.24201100000000508,0.010363399999988587,22,1.0,1.0,1,12,0
0,42,0.33627499999998633,0.19185809999999037,0.14441689999999596,21,1.0,1.0,1,14,0
0,43,0.5172481000000033,0.29449490000000367,0.22275319999999965,22,1.0,1.0,1,15,0
0,44,0.19427319999999781,0.058454900000000976,0.13581829999999684,23,1.0,1.5,2,15,1
0,45,0.3543317999999971,0.33693110000000104,0.01740069999999605,23,1.0,1.0,1,13,0
0,46,0.12281949999999142,0.10913469999999847,0.013684799999992947,24,1.0,1.5,2,14,1
0,47,0.05512829999999269,0.04217119999999852,0.01295709999999417,21,1.0,1.5,2,11,1
0,48,0.1174818000000073,0.09739740000000552,0.02008440000000178,20,1.0,1.0,1,12,0
0,49,0.15238739999999495,0.13864300000000185,0.013744399999993107,21,1.0,1.0,1,11,0
1,2,1.0558233000000001,0.7288027000000028,0.32702059999999733,27,1.0,1.5,2,14,1
1,3,1.3655099000000064,1.1520237000000009,0.2134862000000055,29,1.0,1.0,1,8,0
1,4,1.4701680999999809,0.45693859999998665,1.0132294999999942,26,1.0,1.0,1,9,0
1,5,0.10720499999999333,0.0906321999999875,0.016572800000005827,21,1.0,1.0,1,8,0
1,6,0.4162115999999827,0.17314569999999208,0.24306589999999062,27,1.0,1.5,2,12,1
1,7,0.11847480000000132,0.09702740000000176,0.02144739999999956,21,1.0,1.0,1,9,0
1,8,0.6408466999999973,0.26273539999999684,0.3781113000000005,25,1.0,1.0,1,7,0
1,9,0.1983312000000126,0.08761680000000638,0.11071440000000621,22,1.0,1.0,1,7,0
1,10,1.2355416000000048,1.2198618000000039,0.01567980000000091,30,1.0,1.5,2,9,1
1,11,0.22321660000000065,0.15136809999999912,0.07184850000000154,25,1.0,1.0,1,6,0
1,12,0.6570459000000142,0.25499540000001275,0.4020505000000014,25,1.0,1.0,1,6,0
1,13,6.430109599999994,1.7917666999999966,4.638342899999998,29,1.0,1.5,2,11,1
