Variant i,Variant j,Total Time,Summarization Time,Mapping Time,Number of Events,Average Number of Application,Average Number of Offer,Largest Type Object Set,Cost,Lane Optionality
0,1,133.6408902999999,1.255501699999968,132.38538859999994,106,1.0,3.0,3,0,0
0,2,113.16104230000019,1.3306441000001996,111.83039819999999,106,1.0,3.0,3,4,0
0,3,113.60434110000028,2.023578400000133,111.58076270000015,104,1.0,3.0,3,3,0
0,4,100.47636520000015,1.2466306000001168,99.22973460000003,104,1.0,3.0,3,3,0
0,5,83.42612630000008,1.2163737999999285,82.20975250000015,96,1.0,3.0,3,4,0
0,6,142.9928243999998,1.2395307999995566,141.75329360000023,107,1.0,2.5,3,3,1
0,7,120.45316930000035,2.1239911000002394,118.32917820000011,104,1.0,3.0,3,4,0
0,8,103.61533469999995,1.2532624000000396,102.36207229999991,99,1.0,3.0,3,4,0
0,9,104.95614949999981,1.3090373,103.64711219999981,107,1.0,3.0,3,2,0
1,2,139.52225519999956,2.1654132999997273,137.35684189999984,108,1.0,3.0,3,4,0
1,3,111.80020600000034,1.131126100000074,110.66907990000027,106,1.0,3.0,3,3,0
1,4,120.02233930000057,1.2220547000001716,118.8002846000004,106,1.0,3.0,3,3,0
1,5,90.9665358999996,1.2058063999998012,89.7607294999998,98,1.0,3.0,3,4,0
1,6,142.8831664999998,2.2072260999998434,140.67594039999994,109,1.0,2.5,3,3,1
1,7,158.96087790000047,1.2306148000002395,157.73026310000023,106,1.0,3.0,3,5,0
1,8,127.90660199999957,1.2073232999996435,126.69927869999992,101,1.0,3.0,3,4,0
1,9,71.13108610000018,2.1993342999999186,68.93175180000026,109,1.0,3.0,3,2,0
2,3,103.21163359999991,1.2364456000000246,101.97518799999989,106,1.0,3.0,3,0,0
2,4,79.54826470000035,1.3108827000000929,78.23738200000025,106,1.0,3.0,3,0,0
2,5,68.73336339999969,2.1385929999996733,66.59477040000002,98,1.0,3.0,3,0,0
2,6,121.35145820000025,1.283948799999962,120.06750940000029,109,1.0,2.5,3,4,1
2,7,83.4363257,1.2318891999998414,82.20443650000016,106,1.0,3.0,3,0,0
2,8,71.71931240000004,1.263345500000014,70.45596690000002,101,1.0,3.0,3,0,0
2,9,123.16178389999914,2.2305828999997175,120.93120099999942,109,1.0,3.0,3,1,0
3,4,87.76689670000087,1.0874317000007068,86.67946500000016,104,1.0,3.0,3,0,0
3,5,78.1887801999992,1.1174205999996047,77.0713595999996,96,1.0,3.0,3,1,0
3,6,132.30789839999943,1.9984115999995993,130.30948679999983,107,1.0,2.5,3,3,1
3,7,107.99910639999962,1.1833084999998391,106.81579789999978,104,1.0,3.0,3,0,0
3,8,98.54865030000019,1.162318800000321,97.38633149999987,99,1.0,3.0,3,0,0
3,9,82.02833630000077,1.1815911000003325,80.84674520000044,107,1.0,3.0,3,0,0
4,5,66.16580799999974,2.076174199999514,64.08963380000023,96,1.0,3.0,3,0,0
4,6,112.9542664999999,1.2548532999999225,111.69941319999998,107,1.0,2.5,3,3,1
4,7,76.54492359999949,1.2954085000001214,75.24951509999937,104,1.0,3.0,3,0,0
4,8,71.34564510000018,2.1098431000000346,69.23580200000015,99,1.0,3.0,3,0,0
4,9,101.64439099999981,1.2895392999998876,100.35485169999993,107,1.0,3.0,3,1,0
5,6,78.1391833000007,1.1750814000006358,76.96410190000006,99,1.0,2.5,3,4,1
5,7,75.27100510000037,1.2022051000003557,74.06880000000001,96,1.0,3.0,3,1,0
5,8,54.48301030000039,2.1194954000002326,52.363514900000155,91,1.0,3.0,3,0,0
5,9,83.5867290999995,1.2998424999996132,82.28688659999989,99,1.0,3.0,3,2,0
6,7,143.52642389999983,1.2073424999998679,142.31908139999996,107,1.0,2.5,3,4,1
6,8,107.46324469999945,1.0976241999997,106.36562049999975,102,1.0,2.5,3,4,1
6,9,117.03864060000069,0,117.03864060000069,110,1.0,2.5,3,NaN,1
7,8,75.58436290000009,1.2116249999999127,74.37273790000017,99,1.0,3.0,3,0,0
7,9,139.20647009999993,1.3052730999997948,137.90119700000014,107,1.0,3.0,3,1,0
8,9,118.94505469999967,1.2942744000001767,117.6507802999995,102,1.0,3.0,3,1,0
